date,open_date,close_date,open,close,return
2005-01,2005-01-04,2005-01-31,994.769,954.879,0.0
2005-02,2005-02-01,2005-02-28,953.33,1039.989,0.089132
2005-03,2005-03-01,2005-03-31,1039.351,942.203,-0.094026
2005-04,2005-04-01,2005-04-29,941.431,932.4,-0.010404
2005-05,2005-05-09,2005-05-31,934.65,855.95,-0.081993
2005-06,2005-06-01,2005-06-30,855.21,878.69,0.026567
2005-07,2005-07-01,2005-07-29,875.94,888.16,0.010777
2005-08,2005-08-01,2005-08-31,887.72,927.92,0.044767
2005-09,2005-09-01,2005-09-30,928.52,917.39,-0.011348
2005-10,2005-10-10,2005-10-31,917.21,876.28,-0.044812
2005-11,2005-11-01,2005-11-30,875.96,873.83,-0.002796
2005-12,2005-12-01,2005-12-30,873.47,923.45,0.056785
2006-01,2006-01-04,2006-01-25,926.56,1009.6,0.093291
2006-02,2006-02-06,2006-02-28,1013.43,1053.01,0.042997
2006-03,2006-03-01,2006-03-31,1051.76,1061.09,0.007673
2006-04,2006-04-03,2006-04-28,1061.96,1172.35,0.104854
2006-05,2006-05-08,2006-05-31,1179.58,1365.45,0.164712
2006-06,2006-06-01,2006-06-30,1364.18,1393.96,0.02088
2006-07,2006-07-03,2006-07-31,1398.74,1294.33,-0.071473
2006-08,2006-08-01,2006-08-31,1292.71,1338.69,0.034273
2006-09,2006-09-01,2006-09-29,1339.31,1403.27,0.048241
2006-10,2006-10-09,2006-10-31,1420.36,1464.47,0.043612
2006-11,2006-11-01,2006-11-30,1465.67,1714.36,0.170635
2006-12,2006-12-01,2006-12-29,1719.28,2041.05,0.190561
2007-01,2007-01-04,2007-01-31,2073.25,2385.34,0.168683
2007-02,2007-02-01,2007-02-28,2350.6,2544.57,0.066754
2007-03,2007-03-01,2007-03-30,2550.26,2781.78,0.093222
2007-04,2007-04-02,2007-04-30,2793.96,3558.71,0.279292
2007-05,2007-05-08,2007-05-31,3643.81,3927.95,0.103757
2007-06,2007-06-01,2007-06-29,3953.1,3764.08,-0.041719
2007-07,2007-07-02,2007-07-31,3746.18,4460.56,0.185033
2007-08,2007-08-01,2007-08-31,4479.3,5296.81,0.187476
2007-09,2007-09-03,2007-09-28,5335.05,5580.81,0.053617
2007-10,2007-10-08,2007-10-31,5703.28,5688.54,0.019304
2007-11,2007-11-01,2007-11-30,5701.49,4737.41,-0.167201
