date,MKT,SMB,HML
2020-01,-0.0317,0.028616,-0.013197
2020-02,-0.037009,0.017455,-0.018085
2020-03,-0.042022,0.032527,0.000756
2020-04,0.036636,-0.028828,-0.032248
2020-05,-0.006626,0.033138,-0.026931
2020-06,0.04751,0.00935,-0.047268
2020-07,0.113085,0.004527,-0.045182
2020-08,0.030367,0.000188,-0.013041
2020-09,-0.046092,-0.040999,0.015452
2020-10,0.00512,-0.021117,0.005365
2020-11,0.058314,-0.005613,0.046355
2020-12,0.012444,-0.043466,-0.073199
2021-01,-0.001458,-0.074425,-0.004049
2021-02,0.015415,0.029312,0.038954
2021-03,-0.016538,0.061431,0.032543
2021-04,-0.004818,0.012719,-0.022207
2021-05,0.047323,0.016192,-0.017349
2021-06,-0.008091,0.040447,-0.00532
2021-07,-0.055527,0.03388,-0.01682
2021-08,0.049229,0.029606,0.057882
2021-09,0.012267,-0.020507,0.013387
2021-10,-0.006865,-0.022874,-0.058012
2021-11,-0.006652,0.103336,-0.038993
2021-12,0.025423,0.025475,0.026269
2022-01,-0.064766,-0.011752,0.073812
2022-02,0.02922,0.027854,0.011884
2022-03,-0.045032,0.039001,0.080522
2022-04,-0.051266,-0.09028,0.018245
2022-05,0.037102,0.088567,-0.051406
2022-06,0.0599,-0.043792,-0.072454
2022-07,-0.038718,0.072041,0.001804
2022-08,-0.002202,-0.01674,0.025976
2022-09,-0.043262,-0.035396,0.030287
2022-10,-0.056668,0.078389,-0.008128
2022-11,0.100478,-0.013652,0.016763
2022-12,-0.018075,-0.029198,-0.028633
2023-01,0.048656,0.008192,-0.027592
2023-02,0.0085,0.034796,0.007791
2023-03,0.002238,-0.026874,0.031985
2023-04,0.032549,-0.034624,0.088152
2023-05,-0.036863,0.038555,0.022388
2023-06,0.008701,0.024518,-0.020173
2023-07,0.052296,-0.017295,0.027441
2023-08,-0.047332,-0.003114,-0.004156
2023-09,0.004838,0.002182,0.010783
2023-10,-0.032801,0.036785,-0.005224
2023-11,-0.002068,0.057992,-0.005417
2023-12,-0.011273,-0.006349,0.000126
2024-01,-0.024026,-0.128209,0.107039
2024-02,0.06613,-0.068797,-0.047728
2024-03,0.014271,0.05736,-0.005989
2024-04,0.021942,-0.04664,0.025188
2024-05,-0.002921,-0.022672,0.026564
2024-06,-0.012627,-0.077844,0.036518
2024-07,0.000677,0.020208,0.031099
2024-08,-0.021898,-0.019479,0.008229
2024-09,0.15233,0.046198,-0.035479
2024-10,-0.030992,0.128951,-0.012387
2024-11,0.009251,0.054089,-0.000128
2024-12,0.026221,-0.069801,0.043821
